status,google_index,url_digits_ratio,domain_in_title,phish_hints,ip,?_url_count,len_url,/_url_count,hostname_len
0,0,0.0,1,0,0,0,68,4,19
0,1,0.0,1,0,0,0,57,5,15
0,0,0.0,1,0,0,1,84,3,24
1,1,0.0,1,0,0,0,63,7,10
0,0,0.0,1,0,0,0,32,4,19
1,1,0.09803921568627451,1,0,0,0,51,4,31
0,0,0.02040816326530612,0,0,0,0,49,5,13
0,0,0.0,1,0,0,0,53,3,28
1,1,0.17557251908396945,1,0,1,1,131,4,23
1,1,0.0,1,3,0,0,65,8,14
0,0,0.06779661016949153,0,0,0,1,59,3,15
1,1,0.0,1,0,0,0,38,4,16
0,0,0.0,1,0,0,0,34,5,19
1,1,0.43529411764705883,1,0,1,0,85,4,18
0,0,0.04477611940298507,0,0,0,0,67,6,17
0,1,0.025,1,0,0,0,40,6,7
0,0,0.0,0,0,0,0,40,4,18
0,0,0.0,1,1,0,0,41,4,16
0,1,0.0,0,0,0,0,97,5,16
0,0,0.12345679012345678,1,1,0,1,81,4,21
0,0,0.0,0,0,0,0,50,5,17
0,1,0.0,0,0,0,0,68,6,13
0,0,0.0,1,0,0,0,50,4,28
1,1,0.3,1,0,1,0,50,3,42
1,1,0.0,1,1,0,0,46,4,19
0,0,0.0,0,0,0,0,28,2,21
1,1,0.18181818181818182,1,0,0,0,22,3,6
1,1,0.0,1,0,0,0,39,4,14
1,1,0.25,1,0,1,1,56,4,16
1,1,0.0,1,0,0,0,23,3,13
0,0,0.07352941176470588,1,0,0,0,68,4,18
0,0,0.0,0,0,0,0,47,3,15
1,1,0.0,1,0,0,0,37,5,17
1,1,0.09558823529411764,1,0,1,3,136,6,32
1,1,0.0,1,0,0,0,40,3,24
0,0,0.0,1,0,0,0,30,3,11
1,1,0.2894736842105263,1,2,1,0,114,9,26
0,0,0.058823529411764705,1,0,0,0,34,3,13
1,1,0.013333333333333334,0,0,0,0,75,6,23
1,1,0.0,1,0,0,0,34,2,26
0,0,0.0,1,0,0,0,71,4,22
1,1,0.2911392405063291,1,0,1,1,79,3,60
0,1,0.13333333333333333,0,0,0,0,90,4,17
1,1,0.09259259259259259,1,1,1,0,54,4,17
1,1,0.09734513274336283,1,1,0,1,113,7,15
1,1,0.21311475409836064,1,0,1,0,183,8,37
1,1,0.20689655172413793,0,1,0,0,29,3,21
0,0,0.0,0,0,0,0,51,4,17
1,1,0.10810810810810811,1,0,0,0,37,3,28
0,0,0.0,0,0,0,0,67,3,21
0,0,0.013513513513513514,1,0,0,0,74,6,18
1,1,0.0,1,0,0,0,49,3,30
0,0,0.0,1,0,0,0,42,4,24
1,1,0.16981132075471697,1,2,1,0,53,4,28
1,1,0.22972972972972974,1,0,1,1,74,3,17
1,1,0.20408163265306123,1,0,0,0,49,4,13
0,1,0.025,0,0,0,0,40,4,26
0,0,0.0,1,0,0,0,49,4,16
1,1,0.17647058823529413,1,0,1,0,85,6,10
0,0,0.0,1,0,0,0,35,4,19
0,1,0.0,1,0,0,0,81,7,14
0,0,0.0425531914893617,0,0,0,0,47,4,19
1,1,0.15789473684210525,1,0,0,0,57,3,38
0,1,0.13114754098360656,1,0,0,0,61,4,25
0,1,0.0,0,0,0,0,39,4,18
1,1,0.029411764705882353,1,0,0,0,34,6,16
0,0,0.0,1,0,0,0,64,5,21
0,0,0.0,1,0,0,0,49,5,17
1,1,0.03571428571428571,1,3,0,0,56,7,14
0,0,0.0,1,0,0,0,52,3,25
0,0,0.0,1,0,0,0,54,4,19
1,1,0.17532467532467533,1,0,1,0,154,6,31
1,1,0.0,1,0,0,0,64,6,13
0,1,0.0,1,0,0,0,95,5,24
1,1,0.08490566037735849,1,1,0,1,106,6,30
0,0,0.09375,1,1,0,0,64,5,13
0,0,0.08771929824561403,0,0,0,0,57,5,18
1,1,0.016129032258064516,1,2,0,1,62,6,13
1,1,0.2967032967032967,1,1,1,0,91,6,11
0,0,0.0,1,0,0,0,23,4,11
1,1,0.0,1,0,0,0,44,5,12
1,1,0.0,1,0,0,0,54,5,16
1,1,0.03333333333333333,1,0,0,0,60,3,26
0,0,0.011111111111111112,1,0,0,0,90,6,16
0,0,0.0,1,0,0,0,57,5,24
0,0,0.07142857142857142,1,0,0,0,28,3,15
1,1,0.33783783783783783,1,0,1,0,74,5,28
1,1,0.12259615384615384,1,1,0,0,416,4,16
1,1,0.0,1,0,0,0,49,5,16
0,1,0.0,0,0,0,0,39,3,15
0,0,0.0,1,0,0,0,66,4,19
0,1,0.03508771929824561,1,0,0,0,57,5,24
1,1,0.14754098360655737,1,0,0,0,61,4,35
1,1,0.0,1,0,0,0,42,6,16
0,0,0.0,1,0,0,0,45,3,37
0,0,0.049019607843137254,1,0,0,0,102,11,15
1,1,0.20869565217391303,1,0,1,1,115,4,42
0,0,0.0,0,0,0,0,33,4,22
1,1,0.0625,1,1,0,0,48,3,31
1,1,0.012269938650306749,1,2,0,1,163,9,19
1,1,0.0625,1,0,0,1,112,6,35
0,1,0.11650485436893204,0,0,1,0,103,6,13
1,1,0.39408866995073893,1,2,1,1,203,5,9
1,1,0.2169811320754717,1,3,1,0,106,9,19
1,1,0.0,1,0,0,0,51,5,17
1,1,0.0,1,2,0,0,46,5,15
1,1,0.0,0,0,0,0,24,3,5
0,0,0.0,0,0,0,0,46,3,15
1,1,0.32727272727272727,1,1,1,0,165,3,21
0,0,0.12,1,0,0,0,25,3,16
1,1,0.3230769230769231,1,0,1,0,65,5,12
1,1,0.22127659574468084,1,5,1,1,235,13,19
0,0,0.0,0,0,0,0,82,7,18
1,1,0.0,1,1,0,0,35,5,17
1,1,0.0,1,0,0,0,35,2,27
1,1,0.0,1,0,0,0,25,4,11
0,1,0.09876543209876543,1,0,0,0,81,6,25
1,1,0.02,1,0,0,0,50,4,25
0,1,0.0,1,0,0,0,49,5,6
1,1,0.2727272727272727,1,0,1,2,121,5,30
1,1,0.09375,1,0,0,0,96,6,17
1,1,0.0,1,1,0,0,52,5,18
1,1,0.0,1,0,0,0,49,2,42
1,1,0.04938271604938271,1,0,0,1,81,5,22
1,1,0.02040816326530612,1,1,0,0,49,5,26
1,1,0.0,1,0,0,0,49,3,16
0,0,0.0,1,0,0,0,38,5,17
